PokemonIndex,pokemonName,pokemonDescription,pokemonType1,pokemonType2,maxHp,attack,defence,spAttack,spDefence,speed,ExpYield,GrowthRate,CatchRate,LearnableSkills
1,이상해씨,,Grass,Poison,45,49,49,65,65,45,64,MediumSlow,45,1:몸통박치기|1:울음소리|3:덩굴채찍|6:성장|9:씨뿌리기|12:잎날가르기|15:독가루|15:수면가루|18:씨폭탄|21:돌진|24:달콤한향기|27:광합성|30:고민씨|33:파워휩|36:솔라빔
2,이상해풀,,Grass,Poison,60,62,63,80,80,60,142,MediumSlow,45,1:덩굴채찍|1:몸통박치기|1:울음소리|1:성장|9:씨뿌리기|12:잎날가르기|15:독가루|15:수면가루|20:씨폭탄|25:돌진|30:달콤한향기|35:광합성|40:고민씨|45:파워휩|50:솔라빔
3,이상해꽃,,Grass,Poison,80,82,83,100,100,80,263,MediumSlow,45,0:꽃보라|1:성장|1:꽃잎댄스|1:덩굴채찍|1:몸통박치기|1:울음소리|9:씨뿌리기|12:잎날가르기|15:독가루|15:수면가루|20:씨폭탄|25:돌진|30:달콤한향기|37:광합성|44:고민씨|51:파워휩|58:솔라빔
4,파이리,,Fire,,39,52,43,60,50,65,62,MediumSlow,45,1:할퀴기|1:울음소리|4:불꽃세례|8:연막|12:용의숨결|17:불꽃엄니|20:베어가르기|24:화염방사|28:겁나는얼굴|32:회오리불꽃|36:연옥|40:플레어드라이브
5,리자드,,Fire,,58,64,58,80,65,80,142,MediumSlow,45,1:할퀴기|1:울음소리|1:불꽃세례|1:연막|1:회오리불꽃|12:용의숨결|19:불꽃엄니|24:베어가르기|30:화염방사|37:겁나는얼굴|48:연옥|54:플레어드라이브
6,리자몽,,Fire,Flying,78,84,78,109,85,100,267,MediumSlow,45,0:에어슬래시|1:할퀴기|1:울음소리|1:불꽃세례|1:연막|1:열풍|1:드래곤크루|12:용의숨결|19:불꽃엄니|24:베어가르기|30:화염방사|39:겁나는얼굴|46:회오리불꽃|54:연옥|62:플레어드라이브
7,꼬부기,,Water,,44,48,65,50,64,43,63,MediumSlow,45,1:몸통박치기|1:꼬리흔들기|3:물대포|6:껍질에숨기|9:고속스핀|12:물기|15:물의파동|18:방어|21:비바라기|24:아쿠아테일|27:껍질깨기|30:철벽|33:하이드로펌프|36:웨이브태클
8,어니부기,,Water,,59,63,80,65,80,58,142,MediumSlow,45,1:몸통박치기|1:꼬리흔들기|1:물대포|1:껍질에숨기|9:고속스핀|12:물기|15:물의파동|20:방어|25:비바라기|30:아쿠아테일|35:껍질깨기|40:철벽|45:하이드로펌프|50:웨이브태클
9,거북왕,,Water,,79,83,100,85,105,78,265,MediumSlow,45,0:러스터캐논|1:몸통박치기|1:꼬리흔들기|1:물대포|1:껍질에숨기|9:고속스핀|12:물기|15:물의파동|20:방어|25:비바라기|30:아쿠아테일|35:껍질깨기|42:철벽|49:하이드로펌프|56:웨이브태클
10,캐터피,,Bug,,45,30,35,20,20,45,39,MediumFast,255,1:몸통박치기|1:실뿜기|9:벌레먹음
11,단데기,,Bug,,50,20,55,25,25,30,72,MediumFast,120,0:단단해지기|1:몸통박치기|1:실뿜기|1:벌레먹음|1:단단해지기
12,버터플,,Bug,Flying,60,45,50,90,80,70,198,MediumFast,45,0:바람일으키기|1:몸통박치기|1:실뿜기|1:단단해지기|1:벌레먹음|4:초음파|8:염동력|12:독가루|12:저리가루|12:수면가루|16:환상빔|20:날려버리기|24:에어슬래시|28:신비의부적|32:벌레의야단법석|36:순풍|40:분노가루|44:나비춤
13,뿔충이,,Bug,Poison,40,35,30,20,20,50,39,MediumFast,255,1:독침|1:실뿜기|9:벌레먹음
14,딱충이,,Bug,Poison,45,25,50,25,25,35,72,MediumFast,120,0:단단해지기|1:독침|1:실뿜기|1:벌레먹음|1:단단해지기
15,독침붕,,Bug,Poison,65,90,40,45,80,75,198,MediumFast,45,0:더블니들|1:독침|1:실뿜기|1:단단해지기|1:벌레먹음|1:마구찌르기|11:연속자르기|14:분노|17:따라가때리기|20:기충전|23:베놈쇼크|26:승부굳히기|29:독압정|32:바늘미사일|35:독찌르기|38:고속이동|41:죽기살기|44:마지막일침
16,구구,,Normal,Flying,40,45,40,35,35,56,50,MediumSlow,255,1:몸통박치기|5:모래뿌리기|9:바람일으키기|13:전광석화|17:날려버리기|21:회오리|25:깃털댄스|29:고속이동|33:날개치기|37:날개쉬기|41:순풍|45:제비반환|49:에어슬래시|53:폭풍
17,피죤,,Normal,Flying,63,60,55,50,50,71,122,MediumSlow,120,1:바람일으키기|1:모래뿌리기|1:몸통박치기|5:모래뿌리기|9:바람일으키기|13:전광석화|17:날려버리기|22:회오리|27:깃털댄스|32:고속이동|37:날개치기|42:날개쉬기|47:순풍|52:제비반환|57:에어슬래시|62:폭풍
