PokemonIndex,pokemonName,pokemonDescription,pokemonType1,pokemonType2,maxHp,attack,defence,spAttack,spDefence,speed,learnableSkills
1,이상해씨,,Grass,Poison,45,49,49,65,65,45,1:몸통박치기|3:덩굴채찍|9:씨뿌리기|15:독가루|18:씨폭탄|24:달콤한향기|30:고민씨|36:솔라빔
2,이상해풀,,Grass,Poison,60,62,63,80,80,60,1:덩굴채찍|1:울음소리|9:씨뿌리기|15:독가루|20:씨폭탄|30:달콤한향기|40:고민씨|50:솔라빔
3,이상해꽃,,Grass,Poison,80,82,83,100,100,80,0:꽃보라|1:꽃잎댄스|1:몸통박치기|9:씨뿌리기|15:독가루|20:씨폭탄|30:달콤한향기|44:고민씨|58:솔라빔
4,파이리,,Fire,,39,52,43,60,50,65,1:할퀴기|4:불꽃세례|12:용의숨결|20:베어가르기|28:겁나는얼굴|36:연옥
5,리자드,,Fire,,58,64,58,80,65,80,1:할퀴기|1:불꽃세례|1:회오리불꽃|19:불꽃엄니|30:화염방사|48:연옥
6,리자몽,,Fire,Flying,78,84,78,109,85,100,0:에어슬래시|1:울음소리|1:연막|1:드래곤크루|19:불꽃엄니|30:화염방사|46:회오리불꽃|62:플레어드라이브
7,꼬부기,,Water,,44,48,65,50,64,43,1:몸통박치기|3:물대포|9:고속스핀|15:물의파동|21:비바라기|27:껍질깨기|33:하이드로펌프
8,어니부기,,Water,,59,63,80,65,80,58,1:몸통박치기|1:물대포|9:고속스핀|15:물의파동|25:비바라기|35:껍질깨기|45:하이드로펌프
9,거북왕,,Water,,79,83,100,85,105,78,0:러스터캐논|1:꼬리흔들기|1:껍질에숨기|12:물기|20:방어|30:아쿠아테일|42:철벽|56:웨이브태클
10,캐터피,,Bug,,45,30,35,20,20,45,1:몸통박치기|9:벌레먹음
11,단데기,,Bug,,50,20,55,25,25,30,0:단단해지기|1:실뿜기|1:단단해지기
12,버터플,,Bug,Flying,60,45,50,90,80,70,0:바람일으키기|1:실뿜기|1:벌레먹음|8:염동력|12:저리가루|16:환상빔|24:에어슬래시|32:벌레의야단법석|40:분노가루
13,뿔충이,,Bug,Poison,40,35,30,20,20,50,1:독침|9:벌레먹음
14,딱충이,,Bug,Poison,45,25,50,25,25,35,0:단단해지기|1:실뿜기|1:단단해지기
15,독침붕,,Bug,Poison,65,90,40,45,80,75,0:더블니들|1:실뿜기|1:벌레먹음|11:연속자르기|17:따라가때리기|23:베놈쇼크|29:독압정|35:독찌르기|41:죽기살기
16,구구,,Normal,Flying,40,45,40,35,35,56,1:몸통박치기|9:바람일으키기|17:날려버리기|25:깃털댄스|33:날개치기|41:순풍|49:에어슬래시
17,피죤,,Normal,Flying,63,60,55,50,50,71,1:바람일으키기|1:몸통박치기|9:바람일으키기|17:날려버리기|27:깃털댄스|37:날개치기|47:순풍|57:에어슬래시
18,피죤투,,Normal,Flying,83,80,75,70,70,101,1:바람일으키기|1:몸통박치기|1:폭풍|9:바람일으키기|22:회오리|32:고속이동|44:날개쉬기|56:제비반환|68:폭풍
19,꼬렛,,Normal,,30,56,35,25,35,72,1:몸통박치기|4:전광석화|10:물기|16:돌진|22:깨물어부수기|28:분노의앞니|34:죽기살기
20,레트라,,Normal,,55,81,60,50,70,97,0:겁나는얼굴|1:몸통박치기|1:전광석화|10:물기|16:돌진|24:깨물어부수기|34:분노의앞니|44:죽기살기
21,깨비참,,Normal,Flying,40,60,30,31,31,70,1:울음소리|4:째려보기|11:마구찌르기|18:날개치기|25:고속이동|32:날개쉬기
22,깨비드릴조,,Normal,Flying,65,90,65,61,61,100,1:째려보기|1:쪼기|1:쪼아대기|1:따라가때리기|8:승부굳히기|15:제비반환|23:돌진|32:기충전|41:회전부리
23,아보,,Poison,,35,60,44,40,54,55,1:김밥말이|4:독침|12:뱀눈초리|20:용해액|25:비축하기|28:애시드봄|36:위액|41:흑안개|49:더스트슈트
24,아보크,,Poison,,60,85,69,65,79,80,0:깨물어부수기|1:독침|1:물기|1:얼음엄니|12:뱀눈초리|20:용해액|27:토해내기|32:애시드봄|44:위액|51:흑안개|63:더스트슈트
25,피카츄,,Electric,,35,55,40,50,50,90,1:꼬리흔들기|1:전기쇼크|1:천사의키스|1:나쁜음모|1:볼부비부비|8:그림자분신|16:페인트|24:고속이동|32:방전|40:빛의장막|48:피카피카썬더
26,라이츄,,Electric,,60,90,55,90,80,110,0:파찌파찌액셀|1:울음소리|1:전기자석파|1:고속이동|1:그림자분신|1:천사의키스|1:스파크|1:페인트|1:방전|1:친해지기|1:번개펀치|50:피카피카썬더
27,모래두지,,Ground,,50,75,85,20,30,40,1:할퀴기|3:독침|9:구르기|15:고속스핀|21:스피드스타|27:고속이동|33:구멍파기|39:칼춤|45:지진
