SkillIndex,SkillName,SkillType,CategoryKey,SkillPower,SkillAccuary,SkillPP
701,진심의공격,Normal,Physical,210,0,1
702,나인이볼부스트,Normal,Status,0,0,1
703,오리진즈슈퍼노바,Psychic,Special,185,0,1
704,트랩셸,Fire,Special,150,100,5
705,플뢰르캐논,Fairy,Special,130,90,5
706,사이코팽,Psychic,Physical,85,100,10
707,분함의발구르기,Ground,Physical,75,100,10
708,섀도본,Ghost,Physical,85,100,10
709,액셀록,Rock,Physical,40,100,20
710,아쿠아브레이크,Water,Physical,85,100,10
711,프리즘레이저,Psychic,Special,160,100,10
712,섀도스틸,Ghost,Physical,90,100,10
713,메테오드라이브,Steel,Physical,100,100,5
714,섀도레이,Ghost,Special,100,100,5
715,눈물그렁그렁,Normal,Status,0,0,20
716,찌리리따끔따끔,Electric,Physical,80,100,10
717,자연의분노,Fairy,Special,0,90,10
718,멀티어택,Normal,Physical,120,100,10
719,1000만볼트,Electric,Special,195,0,1
720,깜짝헤드,Fire,Special,150,100,5
721,플라스마피스트,Electric,Physical,100,100,15
722,포톤가이저,Psychic,Special,100,100,5
723,하늘을태우는멸망의빛,Psychic,Special,200,0,1
724,선샤인스매셔,Steel,Physical,200,0,1
725,문라이트블래스터,Ghost,Special,200,0,1
726,투닥투닥프렌드타임,Fairy,Physical,190,0,1
727,레이디얼에지스톰,Rock,Physical,190,0,1
728,브레이징소울비트,Dragon,Special,185,0,1
729,파찌파찌액셀,Electric,Physical,50,100,15
730,참방참방서핑,Water,Special,90,100,15
731,둥실둥실폴,Flying,Physical,90,95,15
732,피카피카썬더,Electric,Special,0,0,20
733,생생버블,Water,Special,90,100,15
734,찌릿찌릿일렉,Electric,Special,90,100,15
735,이글이글번,Fire,Physical,90,100,15
736,콸콸오라,Psychic,Special,90,100,15
737,아그아그존,Dark,Special,90,100,15
738,쑥쑥봄버,Grass,Physical,90,100,15
739,꽁꽁프로스트,Ice,Special,90,100,15
740,반짝반짝스톰,Fairy,Special,90,100,15
741,브이브이브레이크,Normal,Physical,0,0,20
742,더블펀처,Steel,Physical,60,100,5
743,다이월,Normal,Status,0,0,10
744,다이맥스포,Dragon,Special,100,100,5
745,노려맞히기,Water,Special,80,100,15
746,물고버티기,Dark,Physical,80,100,10
747,볼가득넣기,Normal,Status,0,0,10
748,배수의진,Fighting,Status,0,0,5
749,타르숏,Rock,Status,0,100,15
750,마법가루,Psychic,Status,0,100,20
751,드래곤애로,Dragon,Physical,50,100,10
752,다과회,Normal,Status,0,0,10
753,문어굳히기,Fighting,Status,0,100,15
754,전격부리,Electric,Physical,85,100,10
755,아가미물기,Water,Physical,85,100,10
756,코트체인지,Normal,Status,0,100,10   
775,소울비트,Dragon,Status,0,100,5
776,바디프레스,Fighting,Physical,80,100,10
777,데코레이션,Fairy,Status,0,0,15
778,드럼어택,Grass,Physical,80,100,10
779,집게덫,Grass,Physical,35,100,15
780,화염볼,Fire,Physical,120,90,5
781,거수참,Steel,Physical,100,100,5
782,거수탄,Steel,Physical,100,100,5
783,오라휠,Electric,Physical,110,100,10
784,와이드브레이커,Dragon,Physical,60,100,15
785,가지찌르기,Grass,Physical,40,100,40
786,오버드라이브,Electric,Special,80,100,10
787,사과산,Grass,Special,80,100,10
788,G의힘,Grass,Physical,80,100,10
789,소울크래시,Fairy,Physical,75,100,15
790,원더스팀,Fairy,Special,90,95,10
791,생명의물방울,Water,Status,0,0,10
792,블로킹,Dark,Status,0,100,10
793,사죄의찌르기,Dark,Physical,80,0,10
794,스타어설트,Fighting,Physical,150,100,5
795,무한다이빔,Dragon,Special,160,90,5
796,철제광선,Steel,Special,140,95,5
797,와이드포스,Psychic,Special,80,100,10
798,아이언롤러,Steel,Physical,130,100,5
799,스케일샷,Dragon,Physical,25,90,20
800,메테오빔,Rock,Special,120,90,10
