PokemonIndex,pokemonName,pokemonDescription,pokemonType1,pokemonType2,maxHp,attack,defence,spAttack,spDefence,speed,learnableSkills
1,이상해씨,,Grass,Poison,45,49,49,65,65,45,
2,이상해풀,,Grass,Poison,60,62,63,80,80,60,
3,이상해꽃,,Grass,Poison,80,82,83,100,100,80,
4,파이리,,Fire,,39,52,43,60,50,65,
5,리자드,,Fire,,58,64,58,80,65,80,
6,리자몽,,Fire,Flying,78,84,78,109,85,100,
7,꼬부기,,Water,,44,48,65,50,64,43,
8,어니부기,,Water,,59,63,80,65,80,58,
9,거북왕,,Water,,79,83,100,85,105,78,
10,캐터피,,Bug,,45,30,35,20,20,45,
11,단데기,,Bug,,50,20,55,25,25,30,
12,버터플,,Bug,Flying,60,45,50,90,80,70,
13,뿔충이,,Bug,Poison,40,35,30,20,20,50,
14,딱충이,,Bug,Poison,45,25,50,25,25,35,
15,독침붕,,Bug,Poison,65,90,40,45,80,75,
16,구구,,Normal,Flying,40,45,40,35,35,56,
17,피죤,,Normal,Flying,63,60,55,50,50,71,
18,피죤투,,Normal,Flying,83,80,75,70,70,101,
19,꼬렛,,Normal,,30,56,35,25,35,72,
20,레트라,,Normal,,55,81,60,50,70,97,
21,깨비참,,Normal,Flying,40,60,30,31,31,70,
22,깨비드릴조,,Normal,Flying,65,90,65,61,61,100,
23,아보,,Poison,,35,60,44,40,54,55,
24,아보크,,Poison,,60,85,69,65,79,80,
25,피카츄,,Electric,,35,55,40,50,50,90,
26,라이츄,,Electric,,60,90,55,90,80,110,
27,모래두지,,Ground,,50,75,85,20,30,40,
28,고지,,Ground,,75,100,110,45,55,65,
29,니드런♀,,Poison,,55,47,52,40,40,41,
30,니드리나,,Poison,,70,62,67,55,55,56,
31,니드퀸,,Poison,Ground,90,92,87,75,85,76,
32,니드런♂,,Poison,,46,57,40,40,40,50,
33,니드리노,,Poison,,61,72,57,55,55,65,
34,니드킹,,Poison,Ground,81,102,77,85,75,85,
35,삐삐,,Fairy,,70,45,48,60,65,35,
36,픽시,,Fairy,,95,70,73,95,90,60,
37,식스테일,,Fire,,38,41,40,50,65,65,
38,나인테일,,Fire,,73,76,75,81,100,100,
39,푸린,,Normal,Fairy,115,45,20,45,25,20,
40,푸크린,,Normal,Fairy,140,70,45,85,50,45,
41,주뱃,,Poison,Flying,40,45,35,30,40,55,
42,골뱃,,Poison,Flying,75,80,70,65,75,90,
43,뚜벅쵸,,Grass,Poison,45,50,55,75,65,30,
44,냄새꼬,,Grass,Poison,60,65,70,85,75,40,
45,라플레시아,,Grass,Poison,75,80,85,110,90,50,
46,파라스,,Bug,Grass,35,70,55,45,55,25,
47,파라섹트,,Bug,Grass,60,95,80,60,80,30,
48,콘팡,,Bug,Poison,60,55,50,40,55,45,
49,도나리,,Bug,Poison,70,65,60,90,75,90,
50,디그다,,Ground,,10,55,25,35,45,95,
51,닥트리오,,Ground,,35,80,50,50,70,120,
52,나옹,,Normal,,40,45,35,40,40,90,
53,페르시온,,Normal,,65,70,60,65,65,115,
54,고라파덕,,Water,,50,52,48,65,50,55,
55,골덕,,Water,,80,82,78,95,80,85,
56,망키,,Fighting,,40,80,35,35,45,70,
57,성원숭,,Fighting,,65,105,60,60,70,95,
58,가디,,Fire,,55,70,45,70,50,60,
59,윈디,,Fire,,90,110,80,100,80,95,
60,발챙이,,Water,,40,50,40,40,40,90,
61,슈륙챙이,,Water,,65,65,65,50,50,90,
62,강챙이,,Water,Fighting,90,95,95,70,90,70,
63,캐이시,,Psychic,,25,20,15,105,55,90,
64,윤겔라,,Psychic,,40,35,30,120,70,105,
65,후딘,,Psychic,,55,50,45,135,95,120,
66,알통몬,,Fighting,,70,80,50,35,35,35,
67,근육몬,,Fighting,,80,100,70,50,60,45,
68,괴력몬,,Fighting,,90,130,80,65,85,55,
69,모다피,,Grass,Poison,50,75,35,70,30,40,
70,우츠동,,Grass,Poison,65,90,50,85,45,55,
71,우츠보트,,Grass,Poison,80,105,65,100,70,70,
72,왕눈해,,Water,Poison,40,40,35,50,100,70,
73,독파리,,Water,Poison,80,70,65,80,120,100,
74,꼬마돌,,Rock,Ground,40,80,100,30,30,20,
75,데구리,,Rock,Ground,55,95,115,45,45,35,
76,딱구리,,Rock,Ground,80,120,130,55,65,45,
77,포니타,,Fire,,50,85,55,65,65,90,
78,날쌩마,,Fire,,65,100,70,80,80,105,
79,야돈,,Water,Psychic,90,65,65,40,40,15,
80,야도란,,Water,Psychic,95,75,110,100,80,30,
81,코일,,Electric,Steel,25,35,70,95,55,45,
82,레어코일,,Electric,Steel,50,60,95,120,70,70,
83,파오리,,Normal,Flying,52,65,55,58,62,60,
84,두두,,Normal,Flying,35,85,45,35,35,75,
85,두트리오,,Normal,Flying,60,110,70,60,60,100,
86,쥬쥬,,Water,,65,45,55,45,70,45,
87,쥬레곤,,Water,Ice,90,70,80,70,95,70,
