SkillIndex,SkillName,SkillType,CategoryKey,SkillPower,SkillAccuary,SkillPP
801,셸암즈,Poison,Special,90,100,10
802,미스트버스트,Fairy,Special,100,100,5
803,그래스슬라이더,Grass,Physical,70,100,20
804,라이징볼트,Electric,Special,70,100,20
805,대지의파동,Normal,Special,50,100,10
806,엄습하는일격,Bug,Physical,70,90,10
807,질투의불꽃,Fire,Special,70,100,5
808,분풀이,Dark,Physical,75,100,5
809,폴터가이스트,Ghost,Physical,110,90,5
810,부식가스,Poison,Status,0,100,40
811,코칭,Fighting,Status,0,0,10
812,퀵턴,Water,Physical,60,100,20
813,트리플악셀,Ice,Physical,20,90,10
814,더블윙,Flying,Physical,40,90,10
815,열사의대지,Ground,Special,70,100,10
816,정글힐,Grass,Status,0,0,10
817,암흑강타,Dark,Physical,80,100,5
818,수류연타,Water,Physical,25,100,5
819,썬더프리즌,Electric,Special,80,90,15
820,드래곤에너지,Dragon,Special,150,100,5
821,얼어붙는시선,Psychic,Special,90,100,10
822,타오르는분노,Dark,Special,90,100,10
823,천둥차기,Fighting,Physical,90,100,10
824,블리자드랜스,Ice,Physical,130,100,5
825,아스트랄비트,Ghost,Special,120,100,5
826,섬뜩한주문,Psychic,Special,80,100,5
827,페이탈클로,Poison,Physical,60,100,15
828,배리어러시,Psychic,Physical,70,90,10
829,파워시프트,Normal,Status,0,0,10
830,암석액스,Rock,Physical,65,90,15
831,봄의폭풍,Fairy,Special,95,80,5
832,신비의힘,Psychic,Special,70,90,10
833,대격분,Fire,Physical,90,85,10
834,웨이브태클,Water,Physical,75,100,10
835,클로로블라스트,Grass,Special,120,95,5
836,빙산바람,Ice,Physical,100,85,5
837,승리의춤,Fighting,Status,0,0,20
838,들이받기,Ground,Physical,100,100,5
839,독침천발,Poison,Physical,60,100,15
840,오라윙,Psychic,Special,75,90,10
841,천추지한,Ghost,Special,60,100,15
842,농성,Steel,Status,0,0,10
843,3연화살,Fighting,Physical,50,100,15
844,백귀야행,Ghost,Special,60,100,15
845,비검천중파,Dark,Physical,65,100,15
846,찬바람폭풍,Flying,Special,95,80,5
847,번개폭풍,Electric,Special,95,80,5
848,열사의폭풍,Ground,Special,95,80,5
849,초승달의기도,Psychic,Status,0,0,10
